question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
What does administering Beta-Blocking medication do?,It targets adrenergic neurotransmission to Beta receptors,It targets cholinergic neurotransmission to decrease blood pressure,It acts principally upon Beta 2 and Alpha 1 receptors,It exposes the Beta 1 receptors to enhance neurotransmission,A,,,,,,,,,,,,,,0.000,,,,,0.000,,
"Cardiac output does NOT depend on one of the following, which one?",the rate of venous return to the heart,the blood viscosity,the volume flow rate through the circulatory system,the pressure drop (between start of aorta and start of capillaries),C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.894,Chapter 16 - Endocrine System,"of, of the, on, the",,,0.000,,
Which of the following is most unlikely to increase blood viscosity?,leucocytosis,dehydration,hypothermia,an infusion of packed red blood cells,A,,,,,,,,,,,,,Chapter 9 - Respiratory System,0.954,Chapter 9 - Respiratory System; Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"blood, increase, is, of, to, to increase",,,0.000,,
Which of the following would cause blood pressure to DECREASE?,an increase in heart rate,an increase in total peripheral resistance,an increase in heart stroke volume,an increase in parasympathetic impulses along the vagus nerve,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.981,Chapter 16 - Endocrine System,"blood, blood pressure, of, of the, pressure, the, to",,,0.000,,
Which of the following is the best definition of hypertension?,a systolic pressure of more than 140 mmHg and a diastolic pressure of more than 90 mmHg,a diastolic pressure of more than 140 mmHg and a systolic pressure of more than 90 mmHg,a blood pressure of more than 140/90 mmHg measured after 5 minutes of inactivity,a blood pressure of less than 110/70 mmHg measured after 5 minutes of inactivity,C,,,,,,,,,,,,,Chapter 2 - Classification,0.977,Chapter 2 - Classification; Chapter 16 - Endocrine System,"definition, definition of, of, the",chapter_2::2_6_the_classification_of_vertebrates_heads_up,2.6 The Classification of Vertebrates (Heads-up),0.999,chapter_2::2_6_the_classification_of_vertebrates_heads_up,"of, the"
In which part of the brain is the cardiovascular control centre located?,the neurohypophysis,the cerebrum,the hypothalamus,the medulla oblongata,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.990,Chapter 16 - Endocrine System,"control, in, of, of the, part, the",,,0.000,,
"When blood pressure drops, which of the following responses would happen?",atrial natriuretic peptide is released from the heart,the kidneys release renin which catalyses the formation of angiotensin I,the rate of sodium excretion by the kidneys increases,the secretion of anti-diuretic hormone is inhibited 12 Cardiovascular System 303,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.958,Chapter 16 - Endocrine System,"blood, blood pressure, of, of the, pressure, the",,,0.000,,
Which of the following are two of the factors that influence arterial blood pressure?,peripheral resistance and gravity.,cardiac output and the partial pressure of oxygen dissolved in blood.,blood volume and blood osmotic pressure,cardiac output and peripheral resistance,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.998,Chapter 16 - Endocrine System,"are, blood, blood pressure, of, of the, pressure, the, two",,,0.000,,
What would be the effect produced if the cardiovascular centre increased the rate of parasympathetic impulses it sends out?,heart rate would increase,heart rate would decrease,vasoconstriction of blood vessels would increase,vasodilation of blood vessels would increase,B,,,,,,,,,,,,,Chapter 2 - Classification,0.965,Chapter 2 - Classification; Chapter 16 - Endocrine System,"be, it, of, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.999,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"it, of, the"
Too much salt (sodium chloride) in the diet increases blood osmolarity and can cause increased arterial blood pressure. Which of the following is NOT a way that salt affects blood pressure?,Salt causes peripheral vasoconstriction.,Salt stimulates thirst.,Salt stimulates ADH secretion.,Salt causes fluid shift from the intracellular fluid to the extracellular fluid.,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.998,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"a, and, in, in the, is, of, salt, sodium, the, too",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.999,chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_x_control_of_breathing_heads_up,"a, and, in, is, of, sodium, the"
120/80 is recorded as a blood pressure measurement. What does this mean?,systolic pressure is 120 and diastolic pressure is 80.,left ventricular systolic pressure is 120 and left ventricular diastolic pres- sure is 80.,the average of the left and right ventricular systolic pressure is 120 and the average of the left and right ventricular diastolic pressure is 80.,left ventricular diastolic pressure is 120 and left ventricular systolic pres-sure is,B,,,,,,,,,,,,,Chapter 2 - Classification,0.669,Chapter 2 - Classification; Chapter 16 - Endocrine System; Chapter 1 - Chemicals; Chapter 9 - Respiratory System; Chapter 10 - Lymphatic System,"a, thi",,,0.000,,
Which of the following does NOT influence the resistance to blood flow?,diameter of the arterioles,temperature of the blood,haematocrit,diameter of the veins,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.972,Chapter 16 - Endocrine System,"blood, of, of the, the, to",,,0.000,,
Which will produce a decrease in arterial blood pressure?,vasoconstriction.,increased parasympathetic stimulation.,increased blood osmolarity.,increased cardiac output.,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.840,Chapter 16 - Endocrine System; Chapter 10 - Lymphatic System,"blood, blood pressure, in, pressure",,,0.000,,
What achieves short term control of blood pressure?,hormonal mechanisms,the kidneys,"changes in concentration of chemicals such as O 2, CO 2, H+, K+.",neural mechanisms,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.974,Chapter 16 - Endocrine System,"blood, blood pressure, control, control of, of, pressure",,,0.000,,
"What is the class of anti-hypertensive drug that prevents smooth muscle con-traction, and hence promotes vasodilation called?",ACE inhibitors.,beta blockers.,diuretics,calcium channel blockers,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.964,Chapter 1 - Chemicals,"and, call, is, muscle, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.983,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"and, is, of, the"
What does the term “systolic pressure” refer to?,"the value, in mmHg, that appears in the denominator of a blood pressure measurement",the peak pressure in the blood due to the contraction of the left ventricle. 12 Cardiovascular System 305,the minimum pressure in the aorta prior to left ventricular contraction,the difference between maximum and minimum arterial blood pressures.,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.803,Chapter 16 - Endocrine System,"pressure, the, to",,,0.000,,
What are the receptors that are sensitive to blood pressure called?,pacinian corpuscles,nociceptors,baroreceptors,chemoreceptors,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.990,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"are, blood, blood pressure, call, pressure, the, to",,,0.000,,
Which situation below would make the heart beat faster?,an increase in sympathetic impulses along the cardioaccelerator nerves,an increase in parasympathetic impulses along the cardioaccelerator nerves,an increase in sympathetic impulses along the vagus nerves,an increase in parasympathetic impulses along the vagus nerves,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.633,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"make, the",,,0.000,,
Which of the following will NOT increase cardiac output?,increasing strength of contraction,increasing stroke volume,increasing heart rate,increasing total peripheral resistance,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.814,Chapter 16 - Endocrine System,"of, of the, the",,,0.000,,
Which of the following will increase cardiac output?,an increase in sympathetic impulses,an increase in parasympathetic impulses,a faster stream of impulses from the baroreceptors,an increase in vasodilation,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.821,Chapter 16 - Endocrine System,"of, of the, the",,,0.000,,
Angiotensin II does all of the following except one. Which one?,stimulates thirst,causes the release of aldosterone12.6 Blood Pressure and Its Control 306,causes the release of ADH,stimulates peripheral vasodilation,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.801,Chapter 16 - Endocrine System; Chapter 2 - Classification,"of, of the, the",,,0.000,,
What is the consequence when ADH is released?,blood osmolarity increases,the permeability of the collecting ducts to water is increased,peripheral vasodilation increases,blood pressure decreases,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.976,Chapter 1 - Chemicals,"REGEX:\b(ad[ht]|acth|gh|fsh|lh|tsh)\b, REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, is, the, when",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.982,chapter_1::1_2_elements_and_atoms_heads_up,"REGEX:\b(ad[ht]|acth|gh|fsh|lh|tsh)\b, REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, is, the"
"If dietary salt intake is excessive, which of the following will NOT occur?",Less ADH will be secreted,The osmolarity of extracellular fluids will increase,The thirst centre will be stimulated,The extracellular fluid volume increases,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.971,Chapter 1 - Chemicals,"dietari, is, occur, of, salt, the",,,0.000,,
The antihypertensive drugs known as “ACE inhibitors” function by doing which of the following?,preventing the release of ADH,blocking the formation of angiotensin II,blocking the release of renin,preventing the entry of Ca++ to vascular smooth muscle.,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.941,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"by, of, of the, the",,,0.000,,
Which hormone produces a decrease in arterial blood pressure?,vasopressin,ANP,ADH,angiotensin II,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.916,Chapter 16 - Endocrine System,"blood, blood pressure, hormone, in, pressure",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.959,chapter_16::16_x_hormone_highlights,"blood, blood pressure, hormone, pressure"
What will be the result of an increase in sympathetic impulses along the vaso- motor nerves?,increased heart rate and force of contraction,decreased heart rate and force of contraction,generalised vasoconstriction,generalised vasodilation,C,,,,,,,,,,,,,Chapter 2 - Classification,0.934,Chapter 2 - Classification; Chapter 16 - Endocrine System,"be, in, of, the",chapter_2::2_6_the_classification_of_vertebrates_heads_up,2.6 The Classification of Vertebrates (Heads-up),0.992,chapter_2::2_6_the_classification_of_vertebrates_heads_up,"of, the"
"Given that a heart pumps out 70 ml of blood with each stroke and beats 70 times per minute, what is the cardiac output?",70 ml/min,490 ml/min,700 ml/min,4900 ml/min,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.980,Chapter 1 - Chemicals,"a, and, each, is, of, the, with",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.996,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"a, and, each, is, of, the"
Which completed statement is NOT true? Peripheral resistance:,increases if diameter of blood vessels increases,is greater if the total length of blood vessels is greater,increases if viscosity of blood increases,is greater than pulmonary resistance,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.363,Chapter 1 - Chemicals; Chapter 9 - Respiratory System,is,chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.503,chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_9::9_x_control_of_breathing_heads_up,is
Complete the following sentence correctly for a person at rest. Hypertension,occurs when blood volume is too low,refers to the increased blood pressure in the legs while standing,indicates that resistance to blood flow is low,is when systolic blood pressure is more than 140 mmHg,D,,,,,,,,,,,,,Chapter 2 - Classification,0.913,Chapter 2 - Classification; Chapter 1 - Chemicals,"a, at, correctli, the",,,0.000,,
An increase in parasympathetic impulses along the vagus nerve causes,dilation of the arterioles,a decrease in blood pressure,an increase in vasoconstriction,increases the force of myocardial contraction,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.626,Chapter 1 - Chemicals; Chapter 2 - Classification; Chapter 16 - Endocrine System; Chapter 9 - Respiratory System,"in, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.789,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"in, the"
Which of the following would cause a rise in mean arterial blood pressure?,sympathetic impulses along the cardio-accelerator nerves.,changing from a standing position to a supine position.,generalized vasodilation of blood vessels.,a severe haemorrhage.,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.977,Chapter 16 - Endocrine System,"blood, blood pressure, in, of, of the, pressure, the",,,0.000,,
What is the role of angiotensin II? To:,decrease blood pressure by promoting vasodilation of veins.,increase blood pressure by promoting vasoconstriction of arterioles,decrease blood pressure by promoting excretion of water in urine.,increases blood pressure by promoting absorption of Na+.,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.956,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"is, of, role, the, to",,,0.000,,
One of the following is a vasodilator. Which one?,atrial natriuretic peptide (ANP).,angiotensin II.,epinephrine (adrenaline).,an increase in sympathetic impulses.,A,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.926,Chapter 10 - Lymphatic System; Chapter 1 - Chemicals,"a, of, one",,,0.000,,
To what does the term ventricular systole refer?,relaxation of the ventricles.,relaxation of the atria.,contraction of the myocardium.,contraction of the ventricles,D,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.716,Chapter 10 - Lymphatic System; Chapter 2 - Classification,"term, to",,,0.000,,
Which of the following is NOT true about turbulent blood flow?,turbulent flows exists when blood is flowing in smooth streamlines.,it may occur when blood passes through a constriction or stenosis.,it occurs if blood speed is high.,turbulent flow is noisy.,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.891,Chapter 16 - Endocrine System; Chapter 9 - Respiratory System; Chapter 10 - Lymphatic System,"blood, of, of the, the",,,0.000,,
What is the pressure gradient produced by the left ventricle equal to?,the mean arterial pressure.,the difference between mean arterial pressure and pressure at the start of the capillaries.,"the difference between mean arterial pressure and pressure at the start of the capillaries, divided by the distance between the start of the aorta and capillaries.",the mean arterial pressure divided by the distance between the start of the aorta and capillaries.,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.958,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"by, by the, pressure, the, to",,,0.000,,
What is one of the determinants of the resistance to blood flow?,blood viscosity.,cardiac output.,heart rate.,the blood osmolarity.,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.993,Chapter 16 - Endocrine System; Chapter 10 - Lymphatic System,"blood, of, of the, the, to",,,0.000,,
Which one of the following will make blood pressure fall?,increased cardiac output,increased heart rate,increased vasodilation,increased peripheral resistance,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.961,Chapter 16 - Endocrine System,"blood, blood pressure, of, of the, pressure, the",,,0.000,,
Hypertension in adults may be defined as:,Excessive decrease in blood pressure.,Mean arterial pressure greater than 110 mm Hg.,Systolic blood pressure less than 100 mm Hg when resting,Systolic blood pressure persistently greater than 140 mm Hg when resting,D,,,,,,,,,,,,,Chapter 2 - Classification,0.630,Chapter 2 - Classification,"be, in",,,0.000,,
Which of the following statements about the cardiovascular control centre of the brain is FALSE?,increased impulses along parasympathetic fibres causes vasoconstriction.,increased output along the sympathetic fibres INcrease heart rate.12.6 Blood Pressure and Its Control 310,output along of the parasympathetic fibres DEcreases heart rate.,decreased output along the sympathetic fibres causes dilation of arterioles.,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.994,Chapter 16 - Endocrine System,"control, of, of the, the",,,0.000,,
Which of the following does Angiotensin II cause to happen?,Atrial natriuretic peptide to be released.,The collecting ducts in the kidney to become permeable to water.,The release of antidiuretic hormone to be supressed.,Aldosterone to be released.,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.902,Chapter 16 - Endocrine System,"of, of the, the, to",,,0.000,,
The definition of mean arterial pressure (MAP) may be written as:,MAP = stroke volume × heart rate,MAP = (diastolic pressure + systolic pressure) ÷ 2,MAP = cardiac output × peripheral resistance,MAP = diastolic pressure + pulse pressure,C,,,,,,,,,,,,,Chapter 2 - Classification,0.949,Chapter 2 - Classification,"be, definition, definition of, of, the",chapter_2::2_6_the_classification_of_vertebrates_heads_up,2.6 The Classification of Vertebrates (Heads-up),0.962,chapter_2::2_6_the_classification_of_vertebrates_heads_up,"of, the"
One of the following does NOT contribute to peripheral resistance. Which one?,heart rate.,blood viscosity.,diameter of blood vessels.,length of blood vessels,A,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.914,Chapter 10 - Lymphatic System; Chapter 16 - Endocrine System,"of, one, to",,,0.000,,
Which of the following statements about the cardiovascular control centre of the brain is TRUE?,increased impulses along parasympathetic fibres causes vasoconstriction.,output along the sympathetic fibres INcrease heart rate.,output along the parasympathetic fibres INcrease heart rate.,output along the sympathetic fibres DEcrease heart rate.,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.994,Chapter 16 - Endocrine System,"control, of, of the, the",,,0.000,,
Which three hormones have a role in regulating blood pressure?,"angiotensin II, ADH and ANP","renin, angiotensin II and ADH","vasopressin, ADH and ANP","angiotensin II, ACE and ADH 12 Cardiovascular System 311",A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.956,Chapter 16 - Endocrine System,"blood, blood pressure, hormone, in, pressure, role",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.956,chapter_16::16_x_hormone_highlights; chapter_9::9_x_control_of_breathing_heads_up,"blood, blood pressure, hormone, pressure"
Which of the following statements about the cardiovascular centre of the brain is FALSE?,it consists of the cardiac centre and the vasomotor centre.,output along fibres of the sympathetic nervous system DEcrease heart rate.,output along fibres of the parasympathetic nervous system DEcrease heart rate.,output along fibres of the sympathetic nervous system INcrease heart rate.,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.985,Chapter 16 - Endocrine System,"of, of the, the",,,0.000,,
Which statement about cardiac output is correct?,cardiac output is peripheral resistance multiplied by stroke volume.,mean arterial pressure multiplied by peripheral resistance is cardiac output.,cardiac output is heart rate multiplied by stroke volume.,cardiac output is blood volume multiplied by heart rate.,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.370,Chapter 1 - Chemicals; Chapter 9 - Respiratory System,is,chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.511,chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_9::9_x_control_of_breathing_heads_up,is
Which of the following would produce a DECREASE in heart rate?,sympathetic impulses along the cardioaccelerator nerves.,increased sympathetic impulses along the vasomotor nerves,decreased sympathetic impulses along the vasomotor nerves.,parasympathetic impulses along the vagus nerve.,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.946,Chapter 16 - Endocrine System,"in, of, of the, rate, the",,,0.000,,
A rise in arterial blood pressure stretches the vessel walls which contain baro-receptors. Which of the following responses does this produce? The barorecep-tors send a:,slower stream of impulses to the vasomotor centre which inhibits it.,faster stream of impulses to the vasomotor centre which inhibits it.,slower stream of impulses to the vasomotor centre which stimulates it.,faster stream of impulses to the vasomotor centre which stimulates it.,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.988,Chapter 16 - Endocrine System; Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"blood, blood pressure, in, of, of the, pressure, the",,,0.000,,
Why is the blood pressure in the pulmonary arteries less than in the aorta?,the expansion and contraction of the lungs pumps blood through its blood vessels.,blood flowing to the lungs does not need to overcome gravity.,pulmonary resistance is greater than the peripheral resistance.,pulmonary resistance is less than peripheral resistance,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.988,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"in, in the, is, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.995,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"in, is, the"
"When blood pressure is measured in the brachial artery by the auscultatory method, why should the arm be at the same level as the heart?","if the arm is lower than the heart, brachial artery pressure will be lower as blood flow is assisted by gravity.","if the arm is higher than the heart, brachial artery pressure will be higher as more force is required to pump blood up hill.",to avoid any hydrostatic pressure effects on the brachial artery pressure.,"there is no reason for it, the practice is part of “nursing ritual”.",C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals; Chapter 16 - Endocrine System; Chapter 2 - Classification,"at, by, in, in the, is, the, when",,,0.000,,
Why is blood pressure stated in units of “mm Hg”? Because…,the first barometers operated with mercury.,standard International (SI) units are not required in human biology.,the haemoglobin molecule contains an atom of mercury.,blood pressure is a length.,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.932,Chapter 16 - Endocrine System,"blood, blood pressure, in, of, pressure",,,0.000,,
Blood may flow in the aorta with a speed of 30 cm/s and in the capillaries with a speed of only 0.1 m/s. Why is there such a large difference in speed?,the capillaries are much further from the heart than the aorta.,the very narrow capillaries present a large resistance to blood flow com- pared to the large diameter aorta.,the total cross-sectional area of the lumens of the capillaries is much greater than the cross-sectional area of the aorta.,the length of the aorta is short compared to the length of a capillary.,C,,,,,,,,,,,,,Chapter 1 - Chemicals,1.000,Chapter 1 - Chemicals,"a, and, in, in the, is, of, such, the, with",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"a, and, in, is, of, the"
Which statement about cardiac output is correct? Cardiac output is:,the sum of volume of blood pumped by left and right ventricles per minute.,the mean arterial pressure divided by total peripheral resistance,the mean arterial pressure multiplied by stroke volume.,the blood volume multiplied by heart rate.,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.626,Chapter 1 - Chemicals; Chapter 9 - Respiratory System,is,chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.789,chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_9::9_x_control_of_breathing_heads_up,is
In which of the following situations would blood pressure be increased?,antidiuretic hormone (ADH) secretion is inhibited.,the kidneys absorb less water before it is excreted as urine.,the extracellular fluid volume decreases.,the extracellular fluid volume increases.,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.979,Chapter 16 - Endocrine System,"blood, blood pressure, in, of, of the, pressure, the",,,0.000,,
"In the circulatory system, why does an increase in cardiac output cause an increase in volume flow rate (of blood)? Because:",an increased cardiac output causes vasoconstriction.,as cardiac output increases so blood viscosity increases.,"as cardiac output increases, the resistance of the systemic circulation to blood flow decreases.",cardiac output and volume flow rate are the same thing,D,,,,,,,,,,,,,Chapter 9 - Respiratory System,0.999,Chapter 9 - Respiratory System,"blood, flow, in, increase, of, rate, system, volume",chapter_9::9_x_control_of_breathing_heads_up,9.x Control of Breathing (Heads-up),0.998,chapter_9::9_x_control_of_breathing_heads_up; chapter_10::10_2_lymphatic_system_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up,"blood, in, of, rate, system"
The Korotkoff sounds that are listened for during a blood pressure measure-ment by the auscultatory method are caused by:,turbulent blood flow in the aorta,the difference between systolic pressure and cuff pressure.,turbulent flow in the collapsed brachial artery,the opening and closing of the heart valves,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.994,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"are, blood, blood pressure, by, by the, pressure, the",,,0.000,,
What is “systolic pressure”?,The peak pressure in the blood due to contraction of the left ventricle,The minimum pressure in the blood prior to contraction of the left ventricle12.6 Blood Pressure and Its Control 314,It may be obtained by multiplying cardiac output by total peripheral resistance.,It is also known as mean arterial pressure,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.394,Chapter 1 - Chemicals; Chapter 9 - Respiratory System; Chapter 16 - Endocrine System,is,chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.542,chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_9::9_x_control_of_breathing_heads_up; chapter_16::16_x_hormone_highlights,is
What is “autoregulation”? It is the adjustment of blood flow to each tissue due to:,hormonal control,neural control,systemic factors,local factors,D,,,,,,,,,,,,,Chapter 9 - Respiratory System,0.989,Chapter 9 - Respiratory System; Chapter 1 - Chemicals,"blood, flow, is, it, of, to",chapter_9::9_3_diffusion_transport_of_oxygen_heads_up,9.3 Diffusion & Transport of Oxygen (Heads-up),0.994,chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"blood, is, it, of"
Which three factors affect blood pressure?,"heart rate, stroke volume and total peripheral resistance.","cardiac output, heart rate and pulse pressure.","total peripheral resistance, cardiac output and blood volume.","diastolic pressure, systolic pressure and pulse pressure.",C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.717,Chapter 16 - Endocrine System,"blood, blood pressure, pressure",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.852,chapter_16::16_x_hormone_highlights,"blood, blood pressure, pressure"
Which of the following statements could be applied to “external respiration”?,Exchange of gases between alveolar air and the blood in pulmonary capillaries.,Exchange of dissolved gases between blood in tissue capillaries and the body tissues.,The production of CO 2 from organic molecules in the cells by using O 2 .,The inhalation of atmospheric air into the lungs followed by exhalation.,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.898,Chapter 16 - Endocrine System; Chapter 2 - Classification,"of, of the, the, to",,,0.000,,
Which anatomical structures does the “conducting zone” of the lower respira- tory tract contain?,"Eustachian tube, larynx and trachea.","Primary, secondary and tertiary bronchi and bronchioles.","Nares, conchae, olfactory mucosa and sinuses.",Nasopharynx and larynx.,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.967,Chapter 1 - Chemicals,"conduct, contain, of, structure, the",,,0.000,,
What is the function of the cilia on the cells that line the bronchial tree?,They help mix the inhaled fresh air with the residual air contained in the bronchial tree.,They slow the movement of air to allow for efﬁ cient exchange of gases.,They move the mucus on the cell surface up out of the bronchial tree.,They ﬁ lter particles from inhaled air.,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"REGEX:\b(alveol\w+|bronch\w+|diaphragm|haemoglobin|hemoglobin)\b, cell, function, function of, is, of, the",,,0.000,,
One of the following statements is correct. Which one?,The visceral pleura is attached to the chest wall and the parietal pleura is attached to the lung.,The two lungs and their associated structures are known as the pneumothorax. 13 Respiratory System 317,The hilum is a serous membrane that surrounds each lung separately.,A negative pressure is maintained between the two lung pleura.,D,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.850,Chapter 10 - Lymphatic System; Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"of, one",,,0.000,,
What term is applied to the volume of air that moves into the lungs while breathing at rest?,anatomical dead space,inspiratory reserve capacity,tidal volume,residual volume,C,,,,,,,,,,,,,Chapter 9 - Respiratory System,0.993,Chapter 9 - Respiratory System; Chapter 2 - Classification; Chapter 1 - Chemicals,"air, breath, into, is, lung, move, of, to, volume",,,0.000,,
Severing the nerves that innervate the breathing muscles may lead rapidly to death. Will a spinal cord break between the level of cervical vertebrae 6 and 7 leave the victim able to breathe? Choose the answer with the correct reason.,No. The breathing muscles are innervated by spinal nerves that leave the spinal cord at the level of each thoracic vertebra.,Yes. The diaphragm will work as it is innervated by nerves arising from C3 to C5.,No. The breathing muscles are innervated by autonomic impulses from the respiratory centre which is located in the brain stem.,Yes. The muscles of breathing are innervated by the sympathetic nervous system which is unaffected by damage to the somatic nervous system.,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.999,Chapter 1 - Chemicals; Chapter 2 - Classification; Chapter 16 - Endocrine System,"a, and, muscle, of, the, to, with",,,0.000,,
