chapter,section,confidence
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.977
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.969
Chapter 3 - The Cell,Section not found,0.671
Chapter 9 - Respiratory System,9.3 Diffusion & Transport of Oxygen (Heads-up),0.997
Chapter 1 - Chemicals,1.9 Proteins (Heads-up),0.990
Chapter 16 - Endocrine System,Section not found,0.907
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.965
Chapter 3 - The Cell,Section not found,0.996
Chapter 1 - Chemicals,1.7 Carbohydrates (Heads-up),0.811
Chapter 3 - The Cell,Section not found,0.995
Chapter 16 - Endocrine System,Section not found,0.807
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.994
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.962
Chapter 3 - The Cell,Section not found,0.981
Chapter 3 - The Cell,Section not found,0.993
Chapter 3 - The Cell,3.2 The Cell,0.963
Chapter 3 - The Cell,Section not found,0.949
Chapter 16 - Endocrine System,Section not found,0.807
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.994
Chapter 3 - The Cell,Section not found,0.996
Chapter 10 - Lymphatic System,Section not found,0.993
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.997
Chapter 16 - Endocrine System,Section not found,0.955
Chapter 10 - Lymphatic System,Section not found,0.959
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.882
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.999
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.995
Chapter 16 - Endocrine System,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.997
Chapter 16 - Endocrine System,Section not found,0.958
Chapter 3 - The Cell,Section not found,0.995
Chapter 1 - Chemicals,Section not found,0.996
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.997
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),1.000
Chapter 16 - Endocrine System,Section not found,0.996
Chapter 10 - Lymphatic System,Section not found,0.881
Chapter 10 - Lymphatic System,Section not found,0.905
Chapter 10 - Lymphatic System,Section not found,0.844
Chapter 3 - The Cell,Section not found,0.915
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,Section not found,0.977
Chapter 10 - Lymphatic System,Section not found,0.976
Chapter 1 - Chemicals,Section not found,0.975
Chapter 10 - Lymphatic System,Section not found,0.971
Chapter 3 - The Cell,Section not found,0.989
Chapter 3 - The Cell,Section not found,0.842
Chapter 10 - Lymphatic System,10.2.1 Lymphatic Vessels (Heads-up),0.894
Chapter 3 - The Cell,Section not found,0.997
Chapter 1 - Chemicals,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,1.000
Chapter 3 - The Cell,3.2 The Cell,0.987
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.803
Chapter 1 - Chemicals,1.5 Ionization (Heads-up),0.990
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),0.969
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),0.964
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),0.969
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.968
Chapter 3 - The Cell,Section not found,0.999
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.956
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.511
Chapter 3 - The Cell,Section not found,0.976
Chapter 16 - Endocrine System,Section not found,0.992
Chapter 3 - The Cell,Section not found,0.951
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 3 - The Cell,Section not found,0.995
Chapter 10 - Lymphatic System,Section not found,0.996
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 16 - Endocrine System,Section not found,0.945
Chapter 1 - Chemicals,Section not found,0.961
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.992
Chapter 1 - Chemicals,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.990
Chapter 3 - The Cell,Section not found,0.998
Chapter 1 - Chemicals,Section not found,0.974
Chapter 2 - Classification,Section not found,0.960
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 3 - The Cell,Section not found,0.986
Chapter 2 - Classification,Section not found,0.850
Chapter 3 - The Cell,Section not found,0.988
Chapter 1 - Chemicals,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.994
Chapter 1 - Chemicals,Section not found,0.899
Chapter 1 - Chemicals,Section not found,0.985
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.994
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.996
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.901
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.996
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,Section not found,0.982
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.991
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,3.3.1 Osmosis,0.995
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.974
Chapter 3 - The Cell,Section not found,0.993
Chapter 3 - The Cell,Section not found,0.991
Chapter 1 - Chemicals,Section not found,0.815
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.992
Chapter 16 - Endocrine System,Section not found,0.917
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.954
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,Section not found,1.000
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.826
Chapter 3 - The Cell,3.3.1 Osmosis,0.967
Chapter 16 - Endocrine System,Section not found,0.972
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.497
Chapter 16 - Endocrine System,Section not found,0.998
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),0.998
Chapter 10 - Lymphatic System,Section not found,0.985
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.974
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.937
Chapter 3 - The Cell,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.997
Chapter 16 - Endocrine System,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.989
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.995
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.955
Chapter 3 - The Cell,Section not found,0.994
Chapter 16 - Endocrine System,Section not found,0.963
Chapter 16 - Endocrine System,Section not found,0.996
Chapter 16 - Endocrine System,Section not found,0.984
Chapter 16 - Endocrine System,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.975
Chapter 3 - The Cell,Section not found,0.866
Chapter 16 - Endocrine System,Section not found,0.996
Chapter 3 - The Cell,3.3.1 Osmosis,0.999
Chapter 16 - Endocrine System,Section not found,0.896
Chapter 16 - Endocrine System,Section not found,0.970
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.957
Chapter 2 - Classification,2.3 Naming Animals (Heads-up),0.511
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.530
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.521
Chapter 16 - Endocrine System,Section not found,0.894
Chapter 3 - The Cell,Section not found,0.983
Chapter 16 - Endocrine System,Section not found,0.981
Chapter 3 - The Cell,Section not found,0.979
Chapter 3 - The Cell,Section not found,0.994
Chapter 16 - Endocrine System,Section not found,0.958
Chapter 16 - Endocrine System,Section not found,0.998
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.999
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.999
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.985
Chapter 16 - Endocrine System,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.910
Chapter 16 - Endocrine System,Section not found,0.974
Chapter 3 - The Cell,Section not found,0.987
Chapter 3 - The Cell,Section not found,0.826
Chapter 16 - Endocrine System,Section not found,0.990
Chapter 3 - The Cell,Section not found,0.653
Chapter 16 - Endocrine System,Section not found,0.814
Chapter 16 - Endocrine System,Section not found,0.821
Chapter 16 - Endocrine System,Section not found,0.801
Chapter 3 - The Cell,3.2 The Cell,0.990
Chapter 1 - Chemicals,Section not found,0.971
Chapter 3 - The Cell,Section not found,0.964
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.959
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,Section not found,0.997
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.503
Chapter 2 - Classification,Section not found,0.913
Chapter 3 - The Cell,3.3.1 Active Transport,0.899
Chapter 16 - Endocrine System,Section not found,0.977
Chapter 3 - The Cell,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.941
Chapter 3 - The Cell,Section not found,0.826
Chapter 3 - The Cell,Section not found,0.930
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,Section not found,0.997
Chapter 16 - Endocrine System,Section not found,0.961
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.785
Chapter 16 - Endocrine System,Section not found,0.994
Chapter 16 - Endocrine System,Section not found,0.902
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),0.962
Chapter 10 - Lymphatic System,Section not found,0.914
Chapter 16 - Endocrine System,Section not found,0.994
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.956
Chapter 3 - The Cell,Section not found,0.987
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.511
Chapter 3 - The Cell,Section not found,0.968
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.963
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.789
Chapter 16 - Endocrine System,Section not found,0.979
Chapter 9 - Respiratory System,9.x Control of Breathing (Heads-up),0.998
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.682
Chapter 3 - The Cell,Section not found,0.994
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.852
Chapter 3 - The Cell,Section not found,0.930
Chapter 1 - Chemicals,Section not found,0.967
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.872
Chapter 9 - Respiratory System,Section not found,0.993
Chapter 3 - The Cell,Section not found,1.000
Chapter 10 - Lymphatic System,Section not found,0.989
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),0.926
Chapter 3 - The Cell,Section not found,0.998
Chapter 9 - Respiratory System,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.980
Chapter 3 - The Cell,3.2 The Cell,0.901
Chapter 3 - The Cell,Section not found,0.956
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.886
Chapter 3 - The Cell,Section not found,0.646
Chapter 3 - The Cell,3.2 The Cell,0.951
Chapter 16 - Endocrine System,Section not found,0.996
Chapter 3 - The Cell,Section not found,0.915
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.967
Chapter 3 - The Cell,3.5 The Nucleus,0.986
Chapter 3 - The Cell,3.2 The Cell,0.951
Chapter 3 - The Cell,Section not found,0.989
Chapter 3 - The Cell,3.5 The Nucleus,0.811
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.988
Chapter 3 - The Cell,Section not found,0.996
Chapter 9 - Respiratory System,Section not found,0.974
Chapter 9 - Respiratory System,Section not found,1.000
Chapter 9 - Respiratory System,Section not found,0.982
Chapter 3 - The Cell,Mitochondria,0.962
Chapter 1 - Chemicals,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.806
Chapter 9 - Respiratory System,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.949
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.995
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.997
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 3 - The Cell,Section not found,0.993
Chapter 3 - The Cell,Section not found,0.831
Chapter 1 - Chemicals,1.5 Ionization (Heads-up),0.914
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,3.2 The Cell,0.951
Chapter 9 - Respiratory System,Section not found,0.940
Chapter 3 - The Cell,Section not found,0.880
Chapter 3 - The Cell,3.5 The Nucleus,0.811
Chapter 3 - The Cell,Section not found,0.989
Chapter 9 - Respiratory System,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.944
Chapter 9 - Respiratory System,Section not found,0.996
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.968
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.998
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.993
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.884
Chapter 9 - Respiratory System,Section not found,0.998
Chapter 1 - Chemicals,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.904
Chapter 1 - Chemicals,Section not found,0.996
Chapter 9 - Respiratory System,9.3 Diffusion & Transport of Oxygen (Heads-up),0.916
Chapter 3 - The Cell,Section not found,0.983
Chapter 16 - Endocrine System,Section not found,0.984
Chapter 3 - The Cell,Section not found,0.997
Chapter 9 - Respiratory System,Section not found,0.941
Chapter 9 - Respiratory System,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.884
Chapter 9 - Respiratory System,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.954
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.979
Chapter 3 - The Cell,Section not found,0.993
Chapter 1 - Chemicals,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.989
Chapter 3 - The Cell,3.5 The Nucleus,0.944
Chapter 16 - Endocrine System,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.980
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.996
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.993
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.992
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.999
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.992
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.988
Chapter 16 - Endocrine System,Section not found,0.996
Chapter 1 - Chemicals,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.999
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.969
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.995
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,Section not found,0.934
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.964
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.542
Chapter 3 - The Cell,Microfilaments and Microtubules,0.996
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.994
Chapter 3 - The Cell,Section not found,0.897
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.937
Chapter 2 - Classification,2.3 Naming Animals (Heads-up),0.796
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.992
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.989
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.995
Chapter 3 - The Cell,Section not found,0.878
Chapter 3 - The Cell,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.823
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,3.2 The Cell,0.962
Chapter 3 - The Cell,Section not found,0.834
Chapter 3 - The Cell,Section not found,0.878
Chapter 3 - The Cell,Section not found,0.966
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.813
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.995
Chapter 3 - The Cell,Section not found,0.996
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.995
Chapter 3 - The Cell,Section not found,0.968
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.803
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.803
Chapter 3 - The Cell,Section not found,0.964
Chapter 1 - Chemicals,Section not found,0.988
Chapter 3 - The Cell,Section not found,0.909
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.999
Chapter 1 - Chemicals,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.992
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.996
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 3 - The Cell,Section not found,0.934
Chapter 3 - The Cell,3.2 The Cell,0.888
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 16 - Endocrine System,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.965
Chapter 3 - The Cell,Section not found,0.959
Chapter 16 - Endocrine System,Section not found,0.964
Chapter 1 - Chemicals,Section not found,0.982
Chapter 16 - Endocrine System,Section not found,0.885
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.931
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.982
Chapter 1 - Chemicals,1.9 Proteins (Heads-up),0.882
Chapter 16 - Endocrine System,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.990
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),0.998
Chapter 16 - Endocrine System,Section not found,0.984
Chapter 3 - The Cell,3.2 The Cell,0.998
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.996
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.988
Chapter 2 - Classification,Section not found,0.653
Chapter 3 - The Cell,Section not found,0.878
Chapter 3 - The Cell,Section not found,0.938
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.884
Chapter 3 - The Cell,Section not found,0.834
Chapter 16 - Endocrine System,Section not found,0.986
Chapter 3 - The Cell,3.2 The Cell,0.901
Chapter 3 - The Cell,Section not found,0.993
Chapter 3 - The Cell,Section not found,0.945
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.3.1 Osmosis,0.998
Chapter 3 - The Cell,Section not found,0.990
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.834
Chapter 16 - Endocrine System,Section not found,0.990
Chapter 3 - The Cell,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.970
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.938
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.899
Chapter 3 - The Cell,Section not found,0.945
Chapter 3 - The Cell,3.2 The Cell,0.998
Chapter 3 - The Cell,3.5 The Nucleus,0.882
Chapter 16 - Endocrine System,Section not found,0.988
Chapter 3 - The Cell,Section not found,0.968
Chapter 16 - Endocrine System,Section not found,0.978
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.938
Chapter 1 - Chemicals,Section not found,0.945
Chapter 3 - The Cell,Section not found,0.956
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.988
Chapter 16 - Endocrine System,Section not found,0.989
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.967
Chapter 1 - Chemicals,Section not found,0.959
Chapter 3 - The Cell,Section not found,0.992
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.2 The Cell,0.990
Chapter 16 - Endocrine System,Section not found,0.975
Chapter 1 - Chemicals,Section not found,1.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.994
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,Section not found,0.982
Chapter 1 - Chemicals,Section not found,0.990
Chapter 16 - Endocrine System,Section not found,0.986
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,Section not found,0.931
Chapter 3 - The Cell,Section not found,0.999
Chapter 16 - Endocrine System,Section not found,0.952
Chapter 16 - Endocrine System,Section not found,0.989
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.6 Cell Division,0.911
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.918
Chapter 3 - The Cell,Section not found,0.642
Chapter 16 - Endocrine System,Section not found,0.989
Chapter 1 - Chemicals,Section not found,0.995
Chapter 3 - The Cell,3.6 Cell Division,0.920
Chapter 3 - The Cell,Section not found,0.861
Chapter 3 - The Cell,3.3.1 Exocytosis,0.967
Chapter 16 - Endocrine System,Section not found,0.993
Chapter 3 - The Cell,Section not found,0.937
Chapter 1 - Chemicals,Section not found,0.725
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.988
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.920
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.646
Chapter 3 - The Cell,3.2 The Cell,0.985
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),0.998
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.990
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),0.997
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.966
Chapter 3 - The Cell,Section not found,0.956
Chapter 3 - The Cell,Section not found,0.915
Chapter 3 - The Cell,Section not found,0.842
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.964
Chapter 3 - The Cell,Section not found,0.987
Chapter 3 - The Cell,Section not found,0.997
Chapter 1 - Chemicals,Section not found,0.626
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.803
Chapter 3 - The Cell,Section not found,0.981
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.990
Chapter 3 - The Cell,Section not found,0.826
Chapter 3 - The Cell,Section not found,0.981
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.813
Chapter 3 - The Cell,Section not found,0.949
Chapter 3 - The Cell,Section not found,0.985
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.2 The Cell,0.959
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.503
Chapter 1 - Chemicals,Section not found,0.970
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.996
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.819
Chapter 1 - Chemicals,Section not found,0.984
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 16 - Endocrine System,Section not found,0.998
Chapter 1 - Chemicals,2.4 Classification of Living Organisms (Heads-up),0.521
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.986
Chapter 3 - The Cell,Section not found,0.801
Chapter 3 - The Cell,3.2 The Cell,0.986
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.971
Chapter 16 - Endocrine System,Section not found,0.975
Chapter 1 - Chemicals,Section not found,0.959
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 1 - Chemicals,Section not found,0.993
Chapter 1 - Chemicals,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.996
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.989
Chapter 3 - The Cell,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.823
Chapter 1 - Chemicals,Section not found,0.990
Chapter 1 - Chemicals,1.4 Chemical Reactions (Heads-up),0.865
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.993
Chapter 3 - The Cell,Section not found,0.994
Chapter 1 - Chemicals,Section not found,0.996
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.963
Chapter 16 - Endocrine System,Section not found,0.998
Chapter 3 - The Cell,3.2 The Cell,0.948
Chapter 3 - The Cell,Section not found,0.878
Chapter 1 - Chemicals,Section not found,0.938
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.956
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.922
Chapter 3 - The Cell,Section not found,0.984
Chapter 1 - Chemicals,Section not found,0.960
Chapter 1 - Chemicals,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.990
Chapter 3 - The Cell,Section not found,0.998
