question,optionA,optionB,optionC,optionD,answer
"If a cell is said to be “haploid”, what is meant?",it has 23 chromosomes,it has chromosomes that all consist of one chromatid,it has the “2n” number of chromosomes,it is NOT a gamete (or sex cell),A
What is the function of the hormone progesterone?,to maintain secondary sex characteristics,to pause meiosis until the ovum is fertilised,to stimulate estrogen production,to prepare the uterus for pregnancy,D
What is the role of progesterone?,to stimulate follicle development,to stimulate the maturation of the uterine lining,to stimulate the oocyte to complete meiosis I,to stimulate the release of FSH,B
Which one of the following is true about the secretory phase of the menstrual cycle?,It occurs as the uterine epithelium regrows under the stimulation of estrogens.,It begins at ovulation and continues while the corpus luteum is intact.,It refers to the release of progesterone by the corpus luteum.,During this phase the follicle develops prior to ovulation.,B
What is the result of meiosis in males? The production of:,One spermatid and three polar bodies,One spermatid and two polar bodies,Two primary spermatocytes,Four spermatids,D
Which statement is NOT correct?,The ova in the ovary are continually forming from mitosis,The ovarian follicles are embedded in the ovary cortex,Ovulation is the ejection of an oocyte from the ovary,The corpus luteum develops from the ruptured follicle,A
Select one INCORRECT statement from the following:,Meiosis results in the reduction of chromosome numbers in cells from 2n to n.,The primordial follicle cells are present in females at birth.,Spermatogenesis and oogenesis result in the production of either 4 sperm or 4 ova.,Puberty is the time of life when the reproductive organs begin to mature.,C
A wave may be defined as which of the following?,The oscillation of a particle of the medium.,A series of crests and compressions that propagate through space.,A mechanism for the transfer of energy without transferring matter.,The transport of the medium due to the oscillation of its particles.,C
Which statement about the differences between medical imaging using x-rays and a nuclear medicine scan using gamma rays is correct?,an x-ray procedure leaves the patient with residual radioactivity while nuclear medicine does not.,a gamma ray source can be switched off after which no gamma radiation is produced while an x-ray source will continue to produce radiation until the source decays.,x-rays produce an image of internal anatomy while a nuclear medicine scan provides information about the functioning of an organ or tissue.,"a beam of gamma rays is fired at the patient and detected on the other side, while x-rays are produced by the nucleus of a radionuclide incorporated in the patient’s body.",C
What is a difference between x-rays and gamma rays?,x-rays are ionising radiation and gamma rays are not,gamma rays have higher energies than x-rays,gamma rays can be turned off by switching the power supply off.,x-rays are produced in an electrical machine whereas gamma rays emerge from an atomic nucleus.,D
Exposing a foetus or young baby to x-rays should be avoided. What is the cause of the danger most likely to be due to?,Denaturing of cells due to the increase in temperature in cells absorbing radiation.,Damage to a cell’s DNA. 17 Ionising Radiation 445,The baby becoming radioactive.,The formation of a blood clot.,B
Which of the following statements about radioactivity is NOT correct?,some of the atoms in our body are radioactive.,radioactivity occurs naturally in the environment.,radioactivity is associated with the nucleus of an atom.,radioactivity is involved in diagnostic x-rays.,D
Which of the following statements about radioactivity is correct?,X-rays can be produced by radioactivity.,The spontaneous emission of microwaves from the nucleus of an atom is one form of radioactivity.,Radioactivity is the spontaneous emission of particles or photons from the nucleus of an atom. 17 Ionising Radiation 447,Radioactivity is involved in the FM radio frequency band but not the AM radio band.,C
What may the term radioactivity correctly used to refer to?,The spontaneous emission of electromagnetic radiation from the nucleus of an atom.,The particles or photons emitted from an unstable nucleus.,The emission of particulate radiation from a radionuclide.,"The alpha, beta or X-radiation which emanates from some atomic nuclei.",B
The radionuclide technetium 99m ( 4399mTc) is often incorporated into radiophar - maceuticals. When it decays by gamma emission the daughter nucleus may be represented as 4399X (X is not the real chemical symbol for the daughter nucleus!). Which of the following statements is correct?,The daughter nucleus displays chemical behaviour identical to 4399mTc.,X is the symbol of a chemical element different from technetium.,The daughter nucleus detaches from the radiopharmaceutical and is excreted.,The daughter nuclide is not radioactive.,A
Which statement about the atom and its nucleus is correct?,The nucleus contains neutrons with a positive charge and protons with no charge.,Most of the volume of the atom is occupied by the nucleus.,The majority of the atom’s mass is due to the electrons,The nucleus is one ten thousandth times the diameter of the atom.,D
The term ‘radioactive’ when applied to the nucleus of an atom refers to which one of the following phenomena?,The spontaneous emission of a particle or of electromagnetic radiation.,"The emission of x-rays, gamma rays, alpha particles or beta particles.",The formation of a daughter nucleus by the decay of a parent nucleus.,The spontaneous emission from a nucleus which has the optimum ratio of neutrons to protons.,A
Which statement is correct? Radioactivity is the emission from the nucleus of an atom of:,electrons or beta particles or gamma rays.,alpha or beta particles or X rays.,electrons or beta particles or X rays.,alpha or beta particles or gamma rays.,D
What are isotopes? Atoms of the one element whose nuclei:,contain the same number of protons and neutrons.,have different numbers of protons.,have different numbers of neutrons.,do not have the optimum neutron to proton ratio.,C
Which one of the following statements best describes what ‘ionising radiation’ is?,High frequency electromagnetic radiation.,Charged particles that are emitted from radionuclides.,Radiation that is emitted from a radioactive nucleus.,Radiation that can remove electrons from matter.,D
What time does the half-life of a radioactive sample refer to? The time for the,activity to halve.,count rate to double,parent nuclei to decay,number of nuclei to halve,A
How does subcutaneous adipose tissue assist the body to regulate its temperature?,It conducts heat more readily than lean tissue so promotes heat loss.,It stores heat energy so acts like a “heat sink”.,It produces sweat for secretion via sweat glands.,It conducts heat less readily than lean tissue so insulates the body.,D
The skin is usually at a lower temperature than the body’s core temperature (37 °C). What is the reason for this?,The layer of adipose tissue in the hypodermis insulates the skin from the core temperature.,The sweating mechanism is able to lower the skin’s temperature.,Vasoconstriction restricts the amount of blood that is brought close to the skin surface.,"Heat loss through conduction, convection and radiation keeps the skin at a lower temperature.",C
